"SpeciesCode","Axis1","Axis2","Axis3","Axis4","SpeciesName","FG","TempNiche"
"Sp90",0.327651556099318,-1.58213658627931,0.648319900261819,-1.87536854320065,"Pulsatilla_alpina","Forb",5.39787928252089
"Sp91",2.2317547715164,-0.489765663269844,0.750813302589622,-1.49278741733373,"Pulsatilla_vernalis","Forb",5.58611877433197
"Sp92",-1.47421092526261,-0.23263250395272,0.256506764099067,-0.595310721046527,"Ranunculus_acris","Forb",7.38331077326224
"Sp93",0.695547209643872,1.27804816566129,-0.299019392992468,-1.4566179170436,"Ranunculus_montanus","Forb",4.54554718472835
"Sp94",0.44472144187169,0.610798986777918,1.01185344109359,-1.51517426258968,"Ranunculus_sp.","Forb",5.68198998178506
"Sp95",-2.05740686078396,0.827475020673711,-0.503540044179888,-0.0399635112465534,"Rhinanthus_alectorolophus","Forb",7.00820256699509
"Sp96",2.96437967598629,-0.898393938637419,-3.49410432983304,-0.125359242902774,"Salix_herbacea","Shrub",3.80643230115361
"Sp97",-1.51687242428409,2.75912185494977,0.946566551100979,-1.66376397923258,"Senecio_doronicum","Forb",7.00820256699509
"Sp98",1.25953923303551,1.19264948598199,-1.25015646102212,0.262645535639992,"Senecio_incanus","Forb",4.92436145041392
"Sp99",-1.08819449740077,-3.12628363331134,-2.58082998049398,0.0695601094946605,"Silene_nutans","Forb",5.94858606557377
"Sp100",-2.5916338079429,-0.685727347292456,-0.207949129514032,-2.60881572161406,"Silene_vulgaris","Forb",8.26468715985728
"Sp101",1.74557025248068,-0.0167978006312951,0.193219984553517,-0.779357506785721,"Soldanella_alpina","Forb",4.68760253436044
"Sp102",-0.362245380132114,1.02424129291501,0.276354727507099,0.317078094162043,"Stachys_pradica","Forb",6.43236261300805
"Sp103",-2.59807084385726,0.848341701140893,0.411718989296563,0.139129661981695,"Taraxacum_officinale","Forb",8.20843006449812
"Sp104",1.36300359129466,1.03387931550702,-1.45181589705854,0.694111278683551,"Thymus_polytrichus","Forb",4.17598974294098
"Sp105",-0.0590697687522324,0.246975445612307,-1.05974547015113,2.64170660917334,"Thymus_praecox","Forb",6.85829029884373
"Sp106",-1.09817515777142,-1.4712139571375,-0.260388953325266,-0.621892028653562,"Trifolium_alpestre","Legumes",7.28649377751492
"Sp107",0.832907607456294,-1.11148682650737,-1.84715489068595,-0.924585527852171,"Trifolium_alpinum","Legumes",4.86006659341013
"Sp108",-0.776517595549291,-1.6371062368425,-0.910144139573932,-0.525573736373335,"Trifolium_montanum","Legumes",6.47906304552886
"Sp109",-2.11101197096509,-0.695216812194488,-1.18632777804254,0.377302650822604,"Trifolium_pratense","Legumes",6.5978395050583
"Sp110",-2.11889572567139,-0.507378625646546,-1.71877733994425,0.437919688719166,"Trifolium_repens","Legumes",7.56165049826902
"Sp111",1.89468979883053,-0.0309850474700808,-2.45524846957086,-1.62677693475057,"Trifolium_thalii","Legumes",4.0110774177214
"Sp112",-1.88186162274368,-0.588255434462633,0.764064062109313,0.574671097329681,"Trisetum_flavescens","Grass",6.86308003071407
"Sp113",0.403460249643648,-0.0401703600131233,1.17319416983413,-1.53206631552028,"Trollius_europaeus","Forb",6.82608023716976
"Sp114",0.403081836685669,-0.50229674716745,-0.25159813168369,2.59177664601532,"Vaccinium_myrtillus","Shrub",6.14213252840595
"Sp115",1.37897424322038,-1.34443840874389,0.352633234857965,1.98244510255997,"Vaccinium_uliginosum","Shrub",5.68198998178506
"Sp116",2.66710292240778,-0.330704832272703,-0.346055498326548,1.91996985324901,"Vaccinium_vitis-idaea","Shrub",5.49258284894228
"Sp117",3.99382373516634,1.16581824856417,-0.269819215110477,1.234620958649,"Veronica_allionii","Forb",4.69718259083403
"Sp118",-0.811513681701716,0.72941812567393,-1.06602254189087,0.610536378768597,"Viola_calcarata","Forb",5.94858606557377
