"Tmin_phi1","l_phi1","c_phi1","Tmin_phi2","l_phi2","c_phi2","Tmin_a","l_a","c_a","Tmin_b","l_b","Lposterior","Llikelihood","Lprior"
-0.980687880947344,0.957428259861274,0.59384492624444,2.45486356928788,4.54561164328716,6.41593108045886,0.964343462431852,0.372229779441974,1.09916039269869,-2.29091739136998,-6.65581899028125,-3236.10132523683,-3231.24986467582,-4.85146056100112
-0.978212081260406,0.958646187410255,0.560119976947286,2.39366502421965,4.54513016024629,6.36799877566662,1.01225852416558,0.391848650592285,1.14124887929898,-2.39297268096329,-6.68432256529954,-3241.39332018137,-3236.32395896046,-5.06936122090496
-0.97398303108532,0.941550955081361,0.650215060560501,2.3005859953179,4.55337152182147,6.33831928318348,0.890426874738379,0.341685132168168,1.15163193481187,-2.2267556403426,-6.61867530723662,-3235.70355275995,-3230.98390459518,-4.71964816477166
-0.976386528888408,0.957676857160956,0.541347017579934,2.42832632487224,4.50141315469511,6.35868484548663,1.00374530475141,0.394745281706729,1.12502484809937,-2.3467153007654,-6.72164404740615,-3237.75789846585,-3232.65667674886,-5.1012217169891
-0.977213810220231,0.951449224210671,0.57907086118848,2.2994427565953,4.59252632096386,6.42711243908524,0.949341541806394,0.333062907581631,1.07473878948911,-2.53381926598198,-6.34945101529559,-3235.82696038,-3230.91407508036,-4.91288529964046
-0.975723312459672,0.951676455669607,0.539049027850484,2.32332021057315,4.56540800580254,6.41102291125719,0.94867092841868,0.346179718593657,1.1012050837397,-2.46900208451924,-6.48241813677148,-3234.95011862814,-3230.24281309668,-4.70730553146474
-0.974593938973091,0.942895917435699,0.59080523090671,2.31936316867122,4.51944907784803,6.376523415572,0.965902586178641,0.393251595104532,1.13696310279073,-2.21025511917763,-6.68925203446452,-3238.0166734093,-3232.99340209259,-5.02327131671029
-0.970497260345626,0.932425174862343,0.583862711649492,2.22751087031128,4.51474366865158,6.32911536770737,0.954124728238547,0.362511697370299,1.09815194088241,-2.35569804101647,-6.73738079482834,-3243.24137506602,-3238.32301469196,-4.91836037405746
-0.973163708467468,0.935838821921549,0.608955202209397,2.24006073016746,4.49801486594892,6.38427852576164,0.895606275297438,0.343616910142405,1.12812678584097,-2.30098238453767,-6.58303549003025,-3236.42631672261,-3231.81009783192,-4.6162188906926
-0.974097431782052,0.949237960964897,0.590633459904627,2.35496673413841,4.59208787188793,6.41756393028278,0.938926474745866,0.340850545934527,1.05819981007676,-2.41937029638359,-6.50589074780751,-3235.06112665913,-3230.34029107188,-4.72083558725251
-0.974593938973091,0.942895917435699,0.59080523090671,2.31936316867122,4.51944907784803,6.376523415572,0.965902586178641,0.393251595104532,1.13696310279073,-2.21025511917763,-6.68925203446452,-3238.0166734093,-3232.99340209259,-5.02327131671029
-0.973223142066773,0.941463864222755,0.600013864190623,2.24509682944709,4.48103584855432,6.30670480302258,0.937903661426831,0.390351281256873,1.14033660075502,-2.14261755805439,-6.78296958395419,-3238.05075586446,-3232.8166597519,-5.23409611256527
-0.978101085852745,0.944126127054023,0.609505579972329,2.37603667947619,4.51998217053478,6.44781053656229,0.907348452041906,0.335040428540195,1.14630259124472,-2.35710972857689,-6.56017738901362,-3236.13052976534,-3231.51613933758,-4.61439042776194
-0.975775762894945,0.945330591247452,0.633474757937258,2.44302075369774,4.55233998934581,6.40973303607065,0.921899014328072,0.344709791407098,1.1719207578752,-2.33567425921244,-6.61119175580252,-3239.47463841476,-3234.77766147935,-4.69697693541698
-0.979652169474258,0.967066897998807,0.503002834081073,2.49147646470665,4.61942698049966,6.39205775436235,1.09616702274258,0.407133754260746,1.0626443230057,-2.51994155773951,-6.6577061575058,-3243.14308174167,-3237.52537091186,-5.61771082980986
-0.97693636714324,0.94972908399434,0.605277163622188,2.28415959238465,4.54598983173324,6.39724487916334,0.916959869218196,0.342710426303808,1.14023912504932,-2.3358395736877,-6.4834550223999,-3234.14160842278,-3229.53423401319,-4.60737440958914
-0.975146219756715,0.950688564254473,0.586833943698124,2.30887631563424,4.54066801688976,6.33906672131911,0.965046095311455,0.37704707202068,1.09994746926211,-2.29938104841722,-6.65872991386646,-3235.26012742492,-3230.4002532835,-4.85987414141371
-0.974694967155626,0.945982880480325,0.586681522338623,2.28563736138553,4.52017074195417,6.37223762576566,0.903816652446563,0.338698118830309,1.11311883315956,-2.37269968497195,-6.52422847582276,-3233.35979768774,-3228.77527840694,-4.58451928079654
-0.979652169474258,0.967066897998807,0.503002834081073,2.49147646470665,4.61942698049966,6.39205775436235,1.09616702274258,0.407133754260746,1.0626443230057,-2.51994155773951,-6.6577061575058,-3243.14308174167,-3237.52537091186,-5.61771082980986
