"FPR","TPR","Model"
0.81737012987013,0.964634146341463,"jSDM-LVM"
0.816558441558442,0.964634146341463,"jSDM-LVM"
0.815746753246753,0.964634146341463,"jSDM-LVM"
0.814935064935065,0.964634146341463,"jSDM-LVM"
0.814123376623377,0.964634146341463,"jSDM-LVM"
0.814123376623377,0.963414634146341,"jSDM-LVM"
0.814123376623377,0.962195121951219,"jSDM-LVM"
0.813311688311688,0.962195121951219,"jSDM-LVM"
0.8125,0.962195121951219,"jSDM-LVM"
0.811688311688312,0.962195121951219,"jSDM-LVM"
0.810876623376623,0.962195121951219,"jSDM-LVM"
0.810064935064935,0.962195121951219,"jSDM-LVM"
0.809253246753247,0.962195121951219,"jSDM-LVM"
0.808441558441558,0.962195121951219,"jSDM-LVM"
0.80762987012987,0.962195121951219,"jSDM-LVM"
0.806818181818182,0.962195121951219,"jSDM-LVM"
0.806006493506493,0.962195121951219,"jSDM-LVM"
0.805194805194805,0.962195121951219,"jSDM-LVM"
0.805194805194805,0.960975609756098,"jSDM-LVM"
0.804383116883117,0.960975609756098,"jSDM-LVM"
0.803571428571429,0.960975609756098,"jSDM-LVM"
0.80275974025974,0.960975609756098,"jSDM-LVM"
0.801948051948052,0.960975609756098,"jSDM-LVM"
0.801948051948052,0.959756097560976,"jSDM-LVM"
0.801136363636364,0.959756097560976,"jSDM-LVM"
0.801136363636364,0.958536585365854,"jSDM-LVM"
0.800324675324675,0.958536585365854,"jSDM-LVM"
0.799512987012987,0.958536585365854,"jSDM-LVM"
0.799512987012987,0.957317073170732,"jSDM-LVM"
0.799512987012987,0.95609756097561,"jSDM-LVM"
0.798701298701299,0.95609756097561,"jSDM-LVM"
0.79788961038961,0.95609756097561,"jSDM-LVM"
0.797077922077922,0.95609756097561,"jSDM-LVM"
0.797077922077922,0.954878048780488,"jSDM-LVM"
0.796266233766234,0.954878048780488,"jSDM-LVM"
0.795454545454545,0.954878048780488,"jSDM-LVM"
0.795454545454545,0.953658536585366,"jSDM-LVM"
0.794642857142857,0.953658536585366,"jSDM-LVM"
0.793831168831169,0.953658536585366,"jSDM-LVM"
0.793019480519481,0.953658536585366,"jSDM-LVM"
0.792207792207792,0.953658536585366,"jSDM-LVM"
0.791396103896104,0.953658536585366,"jSDM-LVM"
0.790584415584416,0.953658536585366,"jSDM-LVM"
0.789772727272727,0.953658536585366,"jSDM-LVM"
0.788961038961039,0.953658536585366,"jSDM-LVM"
0.788149350649351,0.953658536585366,"jSDM-LVM"
0.788149350649351,0.952439024390244,"jSDM-LVM"
0.787337662337662,0.952439024390244,"jSDM-LVM"
0.786525974025974,0.952439024390244,"jSDM-LVM"
0.785714285714286,0.952439024390244,"jSDM-LVM"
0.784902597402597,0.952439024390244,"jSDM-LVM"
0.784090909090909,0.952439024390244,"jSDM-LVM"
0.783279220779221,0.952439024390244,"jSDM-LVM"
0.782467532467533,0.952439024390244,"jSDM-LVM"
0.781655844155844,0.952439024390244,"jSDM-LVM"
0.780844155844156,0.952439024390244,"jSDM-LVM"
0.780032467532467,0.952439024390244,"jSDM-LVM"
0.779220779220779,0.952439024390244,"jSDM-LVM"
0.778409090909091,0.952439024390244,"jSDM-LVM"
0.777597402597403,0.952439024390244,"jSDM-LVM"
0.776785714285714,0.952439024390244,"jSDM-LVM"
0.775974025974026,0.952439024390244,"jSDM-LVM"
0.775162337662338,0.952439024390244,"jSDM-LVM"
0.774350649350649,0.952439024390244,"jSDM-LVM"
0.774350649350649,0.951219512195122,"jSDM-LVM"
0.774350649350649,0.95,"jSDM-LVM"
0.773538961038961,0.95,"jSDM-LVM"
0.772727272727273,0.95,"jSDM-LVM"
0.771915584415584,0.95,"jSDM-LVM"
0.771103896103896,0.95,"jSDM-LVM"
0.771103896103896,0.948780487804878,"jSDM-LVM"
0.771103896103896,0.947560975609756,"jSDM-LVM"
